Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
151.562  -247.2 151.562  -187.5
151.758  -204.7 151.758  -147.4
151.953  -129.5 151.953   -67.6
152.148   -67.7 152.148   -11.5
152.344    12.0 152.344    73.4
152.539    46.4 152.539    99.3
152.734   122.9 152.734   175.9
152.930   158.5 152.930   211.3
153.125   232.5 153.125   279.8
153.320   266.3 153.320   306.2
153.516   329.9 153.516   360.3
153.711   358.3 153.711   388.7
153.906   405.2 153.906   429.3
154.102   418.9 154.102   436.0
154.297   450.6 154.297   462.6
154.492   464.5 154.492   474.3
154.688   481.6 154.688   482.9
154.883   484.9 154.883   481.7
155.078   483.3 155.078   472.5
155.273   479.6 155.273   463.5
155.469   461.9 155.469   435.7
155.664   448.6 155.664   420.5
155.859   408.4 155.859   371.1
156.055   385.0 156.055   344.5
156.250   330.0 156.250   280.0
156.445   307.1 156.445   258.9
156.641   228.5 156.641   167.2
156.836   188.2 156.836   131.1
157.031   108.5 157.031    43.2
157.227    74.5 157.227    12.7
157.422    -3.2 157.422   -61.9
157.617   -52.8 157.617  -111.0
157.812  -133.5 157.812  -190.1
158.008  -172.7 158.008  -219.2
158.203  -240.5 158.203  -295.8
158.398  -280.1 158.398  -325.4
158.594  -351.3 158.594  -386.9
158.789  -373.6 158.789  -408.2
158.984  -428.8 158.984  -453.7
159.180  -448.1 159.180  -471.2
159.375  -480.6 159.375  -494.3
159.570  -487.1 159.570  -495.5
159.766  -499.9 159.766  -499.9
159.961  -499.9 159.961  -499.9
160.156  -499.9 160.156  -489.2
160.352  -494.4 160.352  -474.8
160.547  -473.1 160.547  -438.8
160.742  -448.7 160.742  -413.5
160.938  -409.1 160.938  -368.0
161.133  -383.4 161.133  -335.0
161.328  -321.4 161.328  -265.5
161.523  -272.0 161.523  -213.1
161.719  -188.4 161.719  -135.6
161.914  -165.7 161.914  -103.9
162.109   -77.1 162.109   -17.4
162.305   -33.1 162.305    26.5
162.500    47.7 162.500    99.6
162.695    83.9 162.695   136.8
162.891   159.0 162.891   212.7
163.086   201.2 163.086   245.8
163.281   276.4 163.281   315.0
163.477   298.5 163.477   334.5
163.672   361.0 163.672   388.9
163.867   384.5 163.867   411.5
164.062   420.3 164.062   443.9
164.258   443.7 164.258   456.5
164.453   464.5 164.453   474.2
164.648   476.9 164.648   480.0
164.844   485.1 164.844   480.9
165.039   486.5 165.039   480.2
165.234   479.8 165.234   463.3
165.430   470.0 165.430   448.9
165.625   445.0 165.625   414.6
165.820   431.6 165.820   399.3
166.016   384.0 166.016   341.0
166.211   355.6 166.211   309.4
166.406   290.9 166.406   236.2
166.602   260.7 166.602   206.7
166.797   199.9 166.797   140.8
166.992   152.8 166.992    89.6
167.188    61.2 167.188    -4.1
167.383    20.4 167.383   -38.5
167.578   -62.7 167.578  -119.8
167.773  -101.0 167.773  -154.9
167.969  -180.7 167.969  -233.6
168.164  -220.1 168.164  -263.1
168.359  -294.1 168.359  -339.7
168.555  -326.0 168.555  -363.6
168.750  -381.7 168.750  -412.9
168.945  -409.5 168.945  -433.4
169.141  -446.9 169.141  -467.3
169.336  -465.0 169.336  -484.3
169.531  -494.5 169.531  -499.9
169.727  -496.4 169.727  -499.9
169.922  -499.9 169.922  -499.9
170.117  -499.9 170.117  -497.3
170.312  -494.3 170.312  -472.0
170.508  -482.0 170.508  -456.0
170.703  -448.1 170.703  -413.6
170.898  -418.8 170.898  -379.8
171.094  -366.2 171.094  -317.6
171.289  -334.3 171.289  -283.8
171.484  -272.4 171.484  -215.2
171.680  -229.6 171.680  -173.6
171.875  -135.4 171.875   -84.0
172.070  -108.4 172.070   -47.3
172.266   -29.7 172.266    27.7
172.461    17.7 172.461    74.9
172.656    98.8 172.656   156.4
172.852   145.1 172.852   189.9
173.047   211.7 173.047   256.4
173.242   254.9 173.242   301.5
173.438   312.3 173.438   351.9
173.633   337.0 173.633   369.4
173.828   385.0 173.828   410.7
174.023   411.0 174.023   434.4
174.219   447.9 174.219   460.7
174.414   456.9 174.414   468.3
174.609   474.9 174.609   478.0
174.805   482.2 174.805   480.8
175.000   482.9 175.000   473.6
175.195   481.3 175.195   469.1
175.391   470.3 175.391   447.8
175.586   457.6 175.586   431.7
175.781   427.9 175.781   392.8
175.977   399.4 175.977   359.6
176.172   350.1 176.172   302.7
176.367   313.4 176.367   262.7
176.562   252.0 176.562   195.1
176.758   222.5 176.758   166.9
176.953   141.9 176.953    73.1
177.148    89.4 177.148    27.9
177.344     4.7 177.344   -57.7
177.539   -30.8 177.539   -87.1
177.734  -115.6 177.734  -174.7
177.930  -168.3 177.930  -219.3
178.125  -235.4 178.125  -282.6
178.320  -270.0 178.320  -309.7
178.516  -333.3 178.516  -375.4
178.711  -360.9 178.711  -395.3
178.906  -416.8 178.906  -448.2
179.102  -436.4 179.102  -455.5
179.297  -465.9 179.297  -483.9
179.492  -484.2 179.492  -496.0
179.688  -499.9 179.688  -499.9
179.883  -499.9 179.883  -499.9
180.078  -499.9 180.078  -495.9
180.273  -499.9 180.273  -479.0
180.469  -478.8 180.469  -450.6
180.664  -462.1 180.664  -429.0
180.859  -421.0 180.859  -380.6
181.055  -388.7 181.055  -342.1
181.250  -336.1 181.250  -286.0
181.445  -301.4 181.445  -241.9
181.641  -229.2 181.641  -168.5
181.836  -179.5 181.836  -120.6
182.031  -107.0 182.031   -46.3
182.227   -67.0 182.227   -10.8
182.422    21.0 182.422    81.0
182.617    65.0 182.617   121.4
182.812   150.0 182.812   201.3
183.008   185.8 183.008   233.7
183.203   253.2 183.203   296.8
183.398   283.8 183.398   321.8
183.594   353.9 183.594   382.5
183.789   385.5 183.789   408.6
183.984   409.6 183.984   431.7
184.180   437.2 184.180   454.0
184.375   460.6 184.375   472.3
184.570   477.2 184.570   483.0
184.766   482.2 184.766   481.7
184.961   484.0 184.961   479.6
185.156   478.8 185.156   462.5
185.352   471.9 185.352   451.9
185.547   448.5 185.547   417.8
185.742   435.5 185.742   405.6
185.938   401.0 185.938   358.5
186.133   367.5 186.133   326.1
186.328   312.3 186.328   259.8
186.523   274.3 186.523   226.0
186.719   218.9 186.719   161.1
186.914   176.4 186.914   115.9
187.109    70.0 187.109    15.3
187.305    47.3 187.305   -14.0
187.500   -26.4 187.500   -87.0
187.695   -82.8 187.695  -135.8
187.891  -156.0 187.891  -212.3
188.086  -199.8 188.086  -249.7
188.281  -248.8 188.281  -297.3
188.477  -297.3 188.477  -334.7
188.672  -341.8 188.672  -386.4
188.867  -378.1 188.867  -407.0
189.062  -417.3 189.062  -445.4
189.258  -451.6 189.258  -472.6
189.453  -478.8 189.453  -494.4
189.648  -490.7 189.648  -496.6
189.844  -499.9 189.844  -499.9
190.039  -499.9 190.039  -499.6
190.234  -499.9 190.234  -489.1
190.430  -494.0 190.430  -469.1
190.625  -472.1 190.625  -442.3
190.820  -443.0 190.820  -404.1
191.016  -401.5 191.016  -357.5
191.211  -366.1 191.211  -316.5
191.406  -310.3 191.406  -260.8
191.602  -268.5 191.602  -208.0
191.797  -196.4 191.797  -134.1
191.992  -147.4 191.992   -89.7
192.188   -73.9 192.188   -14.5
192.383   -29.8 192.383    28.8
192.578    48.1 192.578   109.3
192.773    98.5 192.773   152.3
192.969   163.5 192.969   218.1
193.164   209.8 193.164   257.9
193.359   265.2 193.359   311.9
193.555   305.8 193.555   342.5
193.750   353.4 193.750   382.9
193.945   384.9 193.945   411.2
194.141   426.1 194.141   444.2
194.336   445.8 194.336   461.1
194.531   466.6 194.531   475.0
194.727   477.9 194.727   481.0
194.922   482.5 194.922   478.3
195.117   482.2 195.117   473.6
195.312   478.5 195.312   463.0
195.508   469.4 195.508   449.2
195.703   445.8 195.703   413.4
195.898   421.3 195.898   390.1
196.094   383.5 196.094   338.5
196.289   347.1 196.289   302.0
196.484   295.1 196.484   240.5
196.680   244.5 196.680   190.5
196.875   183.1 196.875   121.6
197.070   133.3 197.070    72.4
197.266    60.2 197.266     0.0
197.461    15.1 197.461   -45.1
197.656   -71.2 197.656  -131.3
197.852  -127.4 197.852  -180.3
198.047  -192.2 198.047  -244.1
198.242  -233.7 198.242  -285.1
198.438  -308.3 198.438  -343.2
198.633  -346.1 198.633  -378.0
198.828  -400.9 198.828  -432.0
199.023  -429.0 199.023  -458.4
199.219  -464.7 199.219  -487.9
199.414  -493.2 199.414  -499.9
199.609  -499.9 199.609  -499.9
199.805  -499.9 199.805  -499.9
Event #3 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -499.9   0.000  -499.9
  0.195  -499.8   0.195  -487.5
  0.391  -489.8   0.391  -466.9
  0.586  -469.4   0.586  -441.4
  0.781  -447.2   0.781  -411.2
  0.977  -399.1   0.977  -356.4
  1.172  -358.2   1.172  -309.5
  1.367  -303.0   1.367  -252.7
  1.562  -264.7   1.562  -205.3
  1.758  -187.1   1.758  -139.6
  1.953  -141.5   1.953   -86.8
  2.148   -62.6   2.148    -6.8
  2.344   -14.4   2.344    47.2
  2.539    53.2   2.539   112.7
  2.734   112.6   2.734   160.7
  2.930   177.1   2.930   225.0
  3.125   208.2   3.125   262.5
  3.320   289.0   3.320   326.4
  3.516   325.4   3.516   357.6
  3.711   360.7   3.711   390.8
  3.906   391.0   3.906   414.7
  4.102   428.1   4.102   447.1
  4.297   448.5   4.297   461.0
  4.492   466.6   4.492   475.1
  4.688   475.2   4.688   481.0
  4.883   483.9   4.883   480.5
  5.078   485.2   5.078   476.5
  5.273   477.8   5.273   460.3
  5.469   464.5   5.469   443.6
  5.664   445.1   5.664   413.3
  5.859   419.1   5.859   383.3
  6.055   375.0   6.055   330.0
  6.250   346.8   6.250   302.2
  6.445   293.5   6.445   240.7
  6.641   251.6   6.641   194.7
  6.836   189.3   6.836   126.7
  7.031   143.8   7.031    83.6
  7.227    53.5   7.227   -12.9
  7.422     0.7   7.422   -61.1
  7.617   -78.1   7.617  -133.5
  7.812  -123.1   7.812  -183.0
  8.008  -185.9   8.008  -243.2
  8.203  -233.1   8.203  -282.6
  8.398  -295.5   8.398  -347.9
  8.594  -340.9   8.594  -377.1
  8.789  -392.8   8.789  -427.8
  8.984  -425.1   8.984  -446.0
  9.180  -458.7   9.180  -483.3
  9.375  -471.6   9.375  -488.4
  9.570  -490.2   9.570  -499.9
  9.766  -499.9   9.766  -499.9
  9.961  -499.9   9.961  -499.9
 10.156  -499.9  10.156  -489.1
 10.352  -491.1  10.352  -471.0
 10.547  -478.0  10.547  -447.4
 10.742  -436.4  10.742  -401.5
 10.938  -411.8  10.938  -369.4
 11.133  -361.9  11.133  -309.8
 11.328  -323.9  11.328  -272.3
 11.523  -259.6  11.523  -204.4
 11.719  -219.9  11.719  -162.6
 11.914  -140.9  11.914   -76.0
 12.109   -83.3  12.109   -16.8
 12.305   -19.1  12.305    43.7
 12.500    23.2  12.500    80.3
 12.695   112.1  12.695   168.0
 12.891   160.4  12.891   207.4
 13.086   222.8  13.086   271.8
 13.281   269.1  13.281   306.2
 13.477   326.6  13.477   362.5
 13.672   358.2  13.672   388.9
 13.867   398.6  13.867   423.4
 14.062   421.5  14.062   438.1
 14.258   451.6  14.258   464.4
 14.453   467.9  14.453   472.6
 14.648   479.8  14.648   480.7
 14.844   482.8  14.844   482.0
 15.039   481.2  15.039   472.1
 15.234   477.0  15.234   462.5
 15.430   459.8  15.430   436.1
 15.625   446.1  15.625   418.9
 15.820   415.3  15.820   379.1
 16.016   384.2  16.016   343.2
 16.211   334.5  16.211   282.3
 16.406   298.0  16.406   251.0
 16.602   230.7  16.602   170.0
 16.797   187.9  16.797   126.1
 16.992   110.0  16.992    46.2
 17.188    67.6  17.188     5.5
 17.383    -0.6  17.383   -68.6
 17.578   -55.9  17.578  -108.6
 17.773  -133.0  17.773  -187.3
 17.969  -169.5  17.969  -219.9
 18.164  -232.0  18.164  -284.4
 18.359  -291.8  18.359  -331.3
 18.555  -341.4  18.555  -388.2
 18.750  -375.0  18.750  -404.3
 18.945  -418.1  18.945  -450.5
 19.141  -449.5  19.141  -466.9
 19.336  -476.6  19.336  -492.3
 19.531  -487.8  19.531  -496.0
 19.727  -499.9  19.727  -499.9
 19.922  -499.9  19.922  -499.6
 20.117  -499.9  20.117  -493.6
 20.312  -498.7  20.312  -479.4
 20.508  -477.1  20.508  -450.1
 20.703  -454.0  20.703  -416.3
 20.898  -413.8  20.898  -371.3
 21.094  -377.4  21.094  -331.2
 21.289  -324.5  21.289  -273.0
 21.484  -268.6  21.484  -213.8
 21.680  -208.6  21.680  -148.0
 21.875  -161.9  21.875   -99.2
 22.070   -83.7  22.070   -18.7
 22.266   -33.1  22.266    27.8
 22.461    40.0  22.461   100.2
 22.656    87.6  22.656   141.6
 22.852   162.9  22.852   215.3
 23.047   213.9  23.047   259.0
 23.242   270.9  23.242   307.4
 23.438   304.4  23.438   341.2
 23.633   354.5  23.633   385.4
 23.828   388.2  23.828   412.7
 24.023   422.8  24.023   442.9
 24.219   439.3  24.219   457.0
 24.414   463.2  24.414   475.0
 24.609   475.7  24.609   483.2
 24.805   483.6  24.805   481.1
 25.000   483.8  25.000   477.4
 25.195   478.9  25.195   463.4
 25.391   468.0  25.391   448.9
 25.586   448.9  25.586   418.7
 25.781   426.7  25.781   392.4
 25.977   380.8  25.977   340.9
 26.172   345.6  26.172   302.2
 26.367   294.6  26.367   243.4
 26.562   257.0  26.562   205.8
 26.758   188.9  26.758   131.4
 26.953   138.1  26.953    80.2
 27.148    64.3  27.148     1.3
 27.344    26.2  27.344   -30.5
 27.539   -55.4  27.539  -117.8
 27.734  -110.7  27.734  -166.2
 27.930  -181.9  27.930  -236.2
 28.125  -231.3  28.125  -278.1
 28.320  -285.1  28.320  -334.0
 28.516  -333.1  28.516  -374.7
 28.711  -379.7  28.711  -415.5
 28.906  -407.9  28.906  -433.9
 29.102  -447.9  29.102  -471.8
 29.297  -472.4  29.297  -486.8
 29.492  -497.1  29.492  -499.9
 29.688  -499.9  29.688  -499.9
 29.883  -499.9  29.883  -499.9
 30.078  -499.9  30.078  -491.3
 30.273  -494.7  30.273  -471.2
 30.469  -481.1  30.469  -454.2
 30.664  -451.5  30.664  -418.9
 30.859  -418.2  30.859  -374.2
 31.055  -375.4  31.055  -327.2
 31.250  -337.2  31.250  -290.5
 31.445  -275.5  31.445  -221.9
 31.641  -225.9  31.641  -163.8
 31.836  -158.8  31.836   -93.8
 32.031  -104.1  32.031   -46.1
 32.227   -33.3  32.227    26.8
 32.422    21.2  32.422    86.1
 32.617    94.6  32.617   150.1
 32.812   143.6  32.812   192.6
 33.008   214.7  33.008   259.1
 33.203   253.0  33.203   296.1
 33.398   306.9  33.398   347.7
 33.594   338.4  33.594   370.7
 33.789   383.1  33.789   409.7
 33.984   413.5  33.984   437.3
 34.180   444.7  34.180   460.8
 34.375   456.3  34.375   467.2
 34.570   476.3  34.570   478.8
 34.766   480.6  34.766   479.8
 34.961   483.0  34.961   472.9
 35.156   481.4  35.156   468.6
 35.352   469.6  35.352   447.6
 35.547   454.1  35.547   428.7
 35.742   421.9  35.742   387.2
 35.938   399.1  35.938   360.1
 36.133   346.8  36.133   300.6
 36.328   306.0  36.328   256.8
 36.523   252.2  36.523   192.5
 36.719   208.7  36.719   155.0
 36.914   129.5  36.914    67.8
 37.109    81.8  37.109    20.5
 37.305    -3.1  37.305   -69.5
 37.500   -51.3  37.500  -108.5
 37.695  -118.5  37.695  -180.8
 37.891  -174.4  37.891  -224.8
 38.086  -229.9  38.086  -282.9
 38.281  -276.7  38.281  -316.0
 38.477  -342.4  38.477  -381.9
 38.672  -374.4  38.672  -404.0
 38.867  -422.8  38.867  -451.6
 39.062  -444.4  39.062  -465.4
 39.258  -472.7  39.258  -487.5
 39.453  -490.0  39.453  -496.8
 39.648  -499.9  39.648  -499.9
 39.844  -499.9  39.844  -499.9
 40.039  -499.9  40.039  -497.1
 40.234  -497.4  40.234  -476.5
 40.430  -475.2  40.430  -447.1
 40.625  -459.8  40.625  -426.3
 40.820  -418.8  40.820  -377.4
 41.016  -385.2  41.016  -341.9
 41.211  -324.1  41.211  -270.0
 41.406  -289.6  41.406  -231.5
 41.602  -217.8  41.602  -154.2
 41.797  -160.8  41.797  -100.2
 41.992   -86.8  41.992   -29.1
 42.188   -37.9  42.188    21.9
 42.383    41.0  42.383    94.6
 42.578    92.7  42.578   143.3
 42.773   160.4  42.773   211.8
 42.969   197.7  42.969   246.3
 43.164   272.1  43.164   308.5
 43.359   303.3  43.359   339.9
 43.555   360.3  43.555   390.8
 43.750   382.9  43.750   409.1
 43.945   424.4  43.945   440.5
 44.141   441.0  44.141   456.5
 44.336   464.3  44.336   473.9
 44.531   473.6  44.531   480.2
 44.727   484.0  44.727   479.6
 44.922   484.9  44.922   478.2
 45.117   478.9  45.117   463.2
 45.312   468.5  45.312   448.8
 45.508   449.9  45.508   421.5
 45.703   426.5  45.703   395.0
 45.898   389.8  45.898   346.8
 46.094   352.4  46.094   307.4
 46.289   296.1  46.289   243.4
 46.484   254.2  46.484   200.7
 46.680   187.5  46.680   123.8
 46.875   142.6  46.875    84.9
 47.070    66.9  47.070     3.8
 47.266    17.1  47.266   -40.9
 47.461   -68.8  47.461  -126.5
 47.656  -105.3  47.656  -165.5
 47.852  -181.5  47.852  -237.3
 48.047  -238.6  48.047  -283.7
 48.242  -292.7  48.242  -335.7
 48.438  -338.5  48.438  -370.7
 48.633  -381.2  48.633  -420.0
 48.828  -411.9  48.828  -438.4
 49.023  -447.5  49.023  -469.2
 49.219  -467.3  49.219  -483.7
 49.414  -492.0  49.414  -499.9
 49.609  -499.9  49.609  -499.9
 49.805  -499.9  49.805  -499.9
 50.000  -499.9  50.000  -492.8
 50.195  -495.3  50.195  -476.1
 50.391  -477.7  50.391  -452.4
 50.586  -444.8  50.586  -409.4
 50.781  -419.1  50.781  -380.2
 50.977  -370.2  50.977  -322.9
 51.172  -328.3  51.172  -275.4
 51.367  -270.1  51.367  -207.4
 51.562  -224.7  51.562  -165.8
 51.758  -147.0  51.758   -90.7
 51.953   -89.8  51.953   -37.6
 52.148   -27.0  52.148    32.8
 52.344    29.6  52.344    87.3
 52.539   101.8  52.539   158.7
 52.734   149.8  52.734   198.9
 52.930   213.3  52.930   258.6
 53.125   255.1  53.125   296.3
 53.320   309.9  53.320   349.0
 53.516   350.9  53.516   375.1
 53.711   392.6  53.711   416.3
 53.906   416.1  53.906   434.9
 54.102   441.9  54.102   457.0
 54.297   462.2  54.297   471.6
 54.492   476.6  54.492   480.2
 54.688   484.2  54.688   482.6
 54.883   488.0  54.883   480.3
 55.078   481.4  55.078   469.5
 55.273   469.5  55.273   447.8
 55.469   455.2  55.469   429.2
 55.664   424.6  55.664   389.4
 55.859   397.0  55.859   358.1
 56.055   350.0  56.055   303.7
 56.250   308.9  56.250   263.2
 56.445   249.9  56.445   197.0
 56.641   198.8  56.641   140.3
 56.836   131.5  56.836    70.4
 57.031    83.7  57.031    24.6
 57.227     8.5  57.227   -49.2
 57.422   -47.1  57.422  -104.0
 57.617  -111.6  57.617  -176.0
 57.812  -159.8  57.812  -210.4
 58.008  -237.5  58.008  -292.4
 58.203  -274.7  58.203  -320.4
 58.398  -337.3  58.398  -379.8
 58.594  -367.6  58.594  -399.7
 58.789  -420.0  58.789  -448.9
 58.984  -444.8  58.984  -463.4
 59.180  -477.3  59.180  -492.1
 59.375  -486.7  59.375  -494.1
 59.570  -496.9  59.570  -499.9
 59.766  -499.9  59.766  -499.9
 59.961  -499.9  59.961  -496.8
 60.156  -499.0  60.156  -480.1
 60.352  -477.3  60.352  -453.0
 60.547  -462.4  60.547  -425.8
 60.742  -415.4  60.742  -374.9
 60.938  -388.2  60.938  -345.6
 61.133  -331.7  61.133  -283.1
 61.328  -290.4  61.328  -234.0
 61.523  -220.0  61.523  -159.1
 61.719  -177.3  61.719  -116.2
 61.914   -98.8  61.914   -37.9
 62.109   -49.5  62.109    13.5
 62.305    19.5  62.305    78.0
 62.500    71.2  62.500   128.4
 62.695   144.3  62.695   194.7
 62.891   190.9  62.891   241.5
 63.086   250.4  63.086   295.7
 63.281   291.4  63.281   332.4
 63.477   345.2  63.477   379.3
 63.672   370.4  63.672   404.7
 63.867   415.1  63.867   437.5
 64.062   437.8  64.062   454.1
 64.258   461.9  64.258   472.0
 64.453   471.4  64.453   478.6
 64.648   482.9  64.648   481.5
 64.844   483.8  64.844   478.8
 65.039   480.3  65.039   464.9
 65.234   469.4  65.234   450.4
 65.430   449.2  65.430   420.6
 65.625   432.3  65.625   401.1
 65.820   392.6  65.820   352.6
 66.016   359.0  66.016   318.2
 66.211   307.3  66.211   258.1
 66.406   270.1  66.406   217.7
 66.602   196.2  66.602   136.4
 66.797   150.2  66.797    90.8
 66.992    88.6  66.992    26.4
 67.188    48.5  67.188   -15.6
 67.383   -39.8  67.383  -105.7
 67.578   -92.0  67.578  -150.9
 67.773  -157.4  67.773  -214.3
 67.969  -207.1  67.969  -253.3
 68.164  -278.4  68.164  -326.3
 68.359  -320.9  68.359  -358.1
 68.555  -366.8  68.555  -406.3
 68.750  -396.0  68.750  -425.9
 68.945  -437.4  68.945  -467.4
 69.141  -461.8  69.141  -481.1
 69.336  -484.3  69.336  -499.9
 69.531  -499.1  69.531  -499.0
 69.727  -499.9  69.727  -499.9
 69.922  -499.9  69.922  -497.7
 70.117  -497.9  70.117  -477.3
 70.312  -484.3  70.312  -459.6
 70.508  -456.3  70.508  -421.0
 70.703  -426.2  70.703  -384.5
 70.898  -386.7  70.898  -338.4
 71.094  -357.7  71.094  -308.8
 71.289  -292.5  71.289  -240.0
 71.484  -244.9  71.484  -187.3
 71.680  -176.2  71.680  -112.9
 71.875  -128.6  71.875   -70.5
 72.070   -48.0  72.070     8.5
 72.266    -4.6  72.266    52.8
 72.461    73.7  72.461   123.5
 72.656   118.0  72.656   165.3
 72.852   188.4  72.852   236.4
 73.047   231.6  73.047   274.2
 73.242   292.0  73.242   332.1
 73.438   327.2  73.438   360.8
 73.633   369.0  73.633   400.3
 73.828   406.0  73.828   427.7
 74.023   437.4  74.023   453.2
 74.219   451.0  74.219   464.2
 74.414   473.7  74.414   478.8
 74.609   482.5  74.609   485.0
 74.805   487.0  74.805   480.4
 75.000   484.5  75.000   474.3
 75.195   472.4  75.195   452.2
 75.391   462.0  75.391   438.5
 75.586   435.4  75.586   399.8
 75.781   410.1  75.781   373.9
 75.977   365.8  75.977   321.6
 76.172   331.3  76.172   286.6
 76.367   274.0  76.367   220.6
 76.562   230.3  76.562   173.0
 76.758   166.7  76.758   103.7
 76.953   109.0  76.953    50.5
 77.148    36.1  77.148   -24.8
 77.344    -6.6  77.344   -65.6
 77.539   -83.4  77.539  -141.5
 77.734  -148.7  77.734  -205.6
 77.930  -211.8  77.930  -260.8
 78.125  -255.4  78.125  -300.5
 78.320  -309.4  78.320  -356.7
 78.516  -359.9  78.516  -391.1
 78.711  -403.3  78.711  -435.2
 78.906  -427.1  78.906  -451.7
 79.102  -464.0  79.102  -487.1
 79.297  -481.5  79.297  -489.7
 79.492  -499.9  79.492  -499.9
 79.688  -499.9  79.688  -499.9
 79.883  -499.9  79.883  -497.0
 80.078  -499.9  80.078  -482.7
 80.273  -484.8  80.273  -459.9
 80.469  -468.9  80.469  -437.4
 80.664  -428.6  80.664  -390.2
 80.859  -396.2  80.859  -352.0
 81.055  -348.6  81.055  -299.9
 81.250  -304.7  81.250  -247.9
 81.445  -250.2  81.445  -189.3
 81.641  -192.1  81.641  -131.0
 81.836  -118.9  81.836   -55.0
 82.031   -72.2  82.031    -8.6
 82.227     4.9  82.227    59.6
 82.422    56.2  82.422   109.9
 82.617   128.8  82.617   176.4
 82.812   170.7  82.812   222.1
 83.008   242.1  83.008   287.1
 83.203   283.2  83.203   326.8
 83.398   334.1  83.398   368.8
 83.594   364.0  83.594   391.7
 83.789   405.3  83.789   429.4
 83.984   429.1  83.984   448.1
 84.180   452.7  84.180   468.1
 84.375   467.2  84.375   474.5
 84.570   480.1  84.570   481.4
 84.766   483.0  84.766   482.0
 84.961   481.5  84.961   471.2
 85.156   477.7  85.156   461.6
 85.352   461.7  85.352   436.4
 85.547   442.0  85.547   413.8
 85.742   411.2  85.742   371.9
 85.938   385.1  85.938   348.1
 86.133   335.8  86.133   287.6
 86.328   299.5  86.328   254.3
 86.523   228.0  86.523   171.7
 86.719   193.6  86.719   139.6
 86.914   112.4  86.914    52.7
 87.109    35.6  87.109   -20.2
 87.305   -21.1  87.305   -85.9
 87.500   -76.3  87.500  -133.1
 87.695  -137.6  87.695  -197.8
 87.891  -187.0  87.891  -237.0
 88.086  -264.0  88.086  -311.1
 88.281  -294.3  88.281  -336.8
 88.477  -370.0  88.477  -403.8
 88.672  -390.9  88.672  -427.3
 88.867  -449.6  88.867  -466.6
 89.062  -452.5  89.062  -471.6
 89.258  -485.4  89.258  -496.7
 89.453  -499.9  89.453  -499.9
 89.648  -499.9  89.648  -499.9
 89.844  -499.9  89.844  -499.8
 90.039  -499.9  90.039  -489.3
 90.234  -498.3  90.234  -470.8
 90.430  -471.2  90.430  -439.7
 90.625  -449.8  90.625  -412.1
 90.820  -401.7  90.820  -360.0
 91.016  -375.1  91.016  -328.0
 91.211  -312.7  91.211  -257.7
 91.406  -278.7  91.406  -221.4
 91.602  -211.7  91.602  -151.1
 91.797  -182.9  91.797  -126.8
 91.992   -84.3  91.992   -31.0
 92.188   -43.7  92.188    19.8
 92.383    40.9  92.383    99.8
 92.578    74.0  92.578   129.0
 92.773   152.0  92.773   204.2
 92.969   203.2  92.969   248.7
 93.164   276.3  93.164   320.2
 93.359   300.6  93.359   340.2
 93.555   347.3  93.555   375.5
 93.750   370.3  93.750   404.7
 93.945   419.2  93.945   440.7
 94.141   435.1  94.141   451.2
 94.336   461.0  94.336   472.5
 94.531   477.0  94.531   479.6
 94.727   483.2  94.727   482.2
 94.922   484.5  94.922   480.1
 95.117   479.5  95.117   465.4
 95.312   474.7  95.312   456.6
 95.508   448.3  95.508   418.9
 95.703   433.0  95.703   401.2
 95.898   390.0  95.898   348.9
 96.094   355.3  96.094   312.6
 96.289   300.2  96.289   251.9
 96.484   279.3  96.484   231.9
 96.680   195.1  96.680   139.1
 96.875   153.5  96.875    93.9
 97.070    67.1  97.070     9.3
 97.266    31.0  97.266   -27.9
 97.461   -53.2  97.461  -111.2
 97.656   -95.2  97.656  -148.1
 97.852  -172.4  97.852  -227.5
 98.047  -207.7  98.047  -254.0
 98.242  -279.1  98.242  -325.1
 98.438  -322.7  98.438  -361.6
 98.633  -378.8  98.633  -413.8
 98.828  -399.3  98.828  -429.3
 99.023  -443.6  99.023  -466.3
 99.219  -461.6  99.219  -475.8
 99.414  -493.1  99.414  -499.7
 99.609  -496.7  99.609  -498.6
 99.805  -499.9  99.805  -499.9
100.000  -499.9 100.000  -495.5
100.195  -498.1 100.195  -477.5
100.391  -486.7 100.391  -460.5
100.586  -457.7 100.586  -420.6
100.781  -428.4 100.781  -391.3
100.977  -372.4 100.977  -326.6
101.172  -352.7 101.172  -300.6
101.367  -286.2 101.367  -227.3
101.562  -245.2 101.562  -186.5
101.758  -168.7 101.758  -106.3
101.953  -129.4 101.953   -74.2
102.148   -45.2 102.148    11.6
102.344     1.6 102.344    57.3
102.539    77.8 102.539   133.6
102.734   123.1 102.734   169.1
102.930   194.5 102.930   242.3
103.125   233.8 103.125   277.0
103.320   295.9 103.320   331.7
103.516   317.6 103.516   354.3
103.711   376.6 103.711   401.9
103.906   405.8 103.906   430.4
104.102   436.0 104.102   453.4
104.297   450.7 104.297   463.3
104.492   471.0 104.492   477.9
104.688   484.0 104.688   484.5
104.883   484.8 104.883   480.3
105.078   485.1 105.078   476.4
105.273   476.5 105.273   458.2
105.469   464.5 105.469   442.6
105.664   432.3 105.664   398.1
